n_steps,sim_time_s,wall_time_mean_ms,wall_time_std_ms,wall_time_max_ms,wall_time_p95_ms,wall_time_total_ms,cpu_time_mean_ms,cpu_time_std_ms,cpu_time_max_ms,cpu_time_p95_ms,cpu_time_total_ms,cpu_to_wall_ratio,freq_mean_hz,freq_std_hz,freq_min_hz,eq_rate_mean_hz,eq_rate_min_hz,eq_rate_p05_hz,wall_util_mean_pct,wall_util_max_pct,cpu_util_mean_pct,cpu_util_max_pct,wall_deadline_miss_count,cpu_deadline_miss_count,wall_deadline_miss_rate_pct,cpu_deadline_miss_rate_pct,controller,repetition_id
1000,99.9,36.80393747531339,5.217958622743538,79.382625001017,43.81481250748033,36803.93747531339,36.49307400000004,4.664787641738883,78.0389999999897,42.96784999997951,36493.074000000044,0.9915535266974665,27.650828308102167,3.535154216022946,12.597215070516862,27.650828308102202,12.597215070516862,22.823331725479587,36.80393747531339,79.382625001017,36.49307400000004,78.0389999999897,0,0,0.0,0.0,NMPC,8
1000,99.9,38.5141173555166,7.283691062436421,95.8393749897368,49.03825897199555,38514.1173555166,38.149905,6.519495525265205,82.6209999999605,48.13330000000624,38149.905,0.9905434064046015,26.674395953650034,3.991942347469049,10.434124806292688,26.674395953650063,10.43412480629269,20.392520010256696,38.514117355516596,95.83937498972861,38.149905,82.62099999996519,0,0,0.0,0.0,NMPC,9
1000,99.9,0.3261160533874719,0.3452819479749307,11.221749999094701,0.34000175364772495,326.1160533874719,0.3181509999999514,0.10703222037779389,3.657,0.3351000000000699,318.1509999999514,0.9755760156398775,3178.420338292245,176.54055069916447,89.11266068845491,3178.4203382927603,89.11266068845534,2941.1622239062513,0.3261160533874719,11.221749999094701,0.3181509999999514,3.657,0,0,0.0,0.0,PPO,0
1000,99.9,0.329307786305386,0.08311814924859279,1.4748339890502,0.40206075063898,329.307786305386,0.3252189999999542,0.06045190682683222,1.1269999999998,0.3910999999999899,325.2189999999542,0.987583693810264,3113.3425615740575,335.48218593081964,678.0424152307326,3113.3425615745386,678.0424152307505,2487.1864256620224,0.3293077863053861,1.4748339890501792,0.32521899999995424,1.126999999999864,0,0,0.0,0.0,PPO,1
1000,99.9,0.31607149692712994,0.019498054180310757,0.5305000231600999,0.345465229474905,316.07149692712994,0.315486999999953,0.01723008505494335,0.5009999999998,0.343049999999885,315.486999999953,0.9981507445851352,3173.4072131044113,156.8195856416582,1885.0140553116491,3173.4072131049097,1885.014055311755,2894.6473357975215,0.31607149692712994,0.5305000231601018,0.3154869999999529,0.5009999999998018,0,0,0.0,0.0,PPO,2
1000,99.9,0.3162700211395949,0.02002347469862214,0.5107080214656,0.3502271167235249,316.2700211395949,0.3152519999999651,0.01580052201669742,0.4439999999998,0.3410499999997049,315.2519999999651,0.9967811646011796,3171.8739673893,159.81817432373984,1958.0659750165748,3171.873967389794,1958.0659750169157,2855.2946318177187,0.31627002113959485,0.5107080214655928,0.31525199999996506,0.44399999999982526,0,0,0.0,0.0,PPO,3
1000,99.9,0.312103270727627,0.009415407856789107,0.42666698573149997,0.32433722517445496,312.103270727627,0.3119649999999406,0.008522310426182494,0.4080000000001,0.32404999999986495,311.9649999999406,0.9995569712314644,3206.5674614132868,83.33611568049994,2343.7482473254395,3206.5674614137847,2343.7482473258347,3083.210700352316,0.312103270727627,0.4266669857314977,0.3119649999999406,0.40800000000009784,0,0,0.0,0.0,PPO,4
1000,99.9,0.3075521379359485,0.010814808102772648,0.4540830268524,0.319529138505385,307.5521379359485,0.3074829999999489,0.009543254738307628,0.42000000000000004,0.32000000000030004,307.4829999999489,0.9997751992996582,3254.72807483988,93.16995762445633,2202.24042931453,3254.7280748404237,2202.2404293148147,3129.605526904371,0.3075521379359485,0.45408302685239355,0.3074829999999489,0.41999999999999404,0,0,0.0,0.0,PPO,5
1000,99.9,0.31278719013784506,0.018928786814116413,0.5437089712359,0.33754612668412504,312.7871901378451,0.3122539999999492,0.01653594521036109,0.48699999999960003,0.33305000000026497,312.2539999999492,0.9982953581389925,3206.039158314191,150.54417530325264,1839.219238422546,3206.0391583147225,1839.2192384225496,2962.5580737516266,0.3127871901378451,0.5437089712359309,0.31225399999994924,0.4869999999996277,0,0,0.0,0.0,PPO,6
1000,99.9,0.3130942630231824,0.017615356231304617,0.48074999358500003,0.336624702322295,313.0942630231824,0.31247399999995223,0.01468507146730932,0.4550000000005,0.33604999999980995,312.47399999995224,0.9980189256192655,3202.0313045110674,145.3168379032449,2080.0832310839933,3202.0313045115686,2080.0832310842097,2970.668177277343,0.3130942630231824,0.48074999358502735,0.3124739999999522,0.4550000000005259,0,0,0.0,0.0,PPO,7
