time,x,y,z,roll,pitch,yaw,u,v,w,p,q,r,x_ref,y_ref,z_ref,yaw_ref,tracking_error_m,velocity_error,yaw_error,reward,T1,T2,T3,T4,T5,T6,controller_wall_time_s,controller_cpu_time_s,controller_frequency_hz,controller_prepare_time_s,controller_solver_time_s,controller_post_time_s,controller_success,controller,controller_wall_time_ms,controller_cpu_time_ms,dt_s,dt_ms,equivalent_rate_from_wall_hz,wall_utilization_pct,cpu_utilization_pct,wall_deadline_miss,cpu_deadline_miss
16.6,0.5151319,-0.22418962,-0.5316748,0.015524255,-0.010570832,-3.0409043,-0.3383746,-0.5246606,0.012357527,-0.026903363,0.03851684,-0.34358498,0.60645354,-0.48220268,-0.5,2.8205342,0.275524377822876,0.6054940223693848,0.4217465559588833,-2.391562019996961,-27.549635,13.493846,-13.407499,-0.6482899,-5.036192,-9.630655,2.724997466430068e-05,2.6999999999999247e-05,36697.281825735714,1.1249794624745846e-06,2.1709012798964977e-05,3.917026333510876e-06,1,SMC,0.02724997466430068,0.026999999999999247,0.10000000000000142,100.00000000000142,36697.281825735714,0.02724997466430029,0.02699999999999886,False,False
16.7,0.54416686,-0.16842312,-0.53159493,0.013683599,-0.005794144,-3.0795984,-0.34490713,-0.5255228,0.012604364,-0.022496775,0.04175471,-0.3876153,0.59445894,-0.47801986,-0.5,2.7919128,0.3152422606945038,0.6122123003005981,0.4116738478290005,-2.415842572977075,-19.549635,5.493846,-8.510134,-5.512855,-2.6598413,-7.7242017,2.6958994567394257e-05,2.6000000000026e-05,37093.37147200055,1.0420335456728935e-06,2.1499989088624716e-05,3.875000402331352e-06,1,SMC,0.026958994567394257,0.026000000000026,0.09999999999999787,99.99999999999787,37093.37147200055,0.026958994567394833,0.02600000000002655,False,False
16.8,0.5754349,-0.11556044,-0.53103286,0.010547207,-0.0009400387,-3.114353,-0.34479257,-0.50808746,0.014572745,-0.033377647,0.043781064,-0.34817117,0.58233064,-0.47340688,-0.5,2.7646956,0.359255701303482,0.5995039939880371,0.4041369597064419,-2.438512914429502,-22.85931,8.849565,-16.510134,2.4871452,-0.11425477,-4.3950787,2.7749978471547365e-05,2.799999999997249e-05,36036.0639928179,1.0830117389559746e-06,2.2208027075976133e-05,3.915978595614433e-06,1,SMC,0.027749978471547365,0.02799999999997249,0.10000000000000142,100.00000000000142,36036.0639928179,0.02774997847154697,0.027999999999972092,False,False
16.900000000000002,0.60863584,-0.06779554,-0.53024185,0.0059523582,0.004001121,3.1306095,-0.34488803,-0.46831623,0.013174113,-0.046307795,0.04537748,-0.3827281,0.57007134,-0.46836787,-0.5,2.7388363,0.403559148311615,0.5661776065826416,0.3917732238769531,-2.4396987342262166,-14.859311,0.8495644,-13.858288,-0.13735849,3.0263517,-0.76555854,2.6875000912696123e-05,2.6000000000026e-05,37209.301061924285,1.00000761449337e-06,2.150004729628563e-05,3.833032678812742e-06,1,SMC,0.026875000912696123,0.026000000000026,0.10000000000000142,100.00000000000142,37209.301061924285,0.02687500091269574,0.026000000000025628,False,False
17.0,0.64328176,-0.027279338,-0.5293932,-0.0011402745,0.0088206455,3.0956955,-0.34201965,-0.40889305,0.009552226,-0.06952938,0.04611621,-0.34941864,0.5576837,-0.46290734,-0.5,2.7142859,0.4449300467967987,0.5139808654785156,0.3814096450805663,-2.445489431677994,-7.2512946,-4.509697,-21.39343,7.8626413,2.2122355,-1.2414068,2.6917026843875647e-05,2.6999999999999247e-05,37151.205658790175,1.04197533801198e-06,2.1457963157445192e-05,3.915978595614433e-06,1,SMC,0.026917026843875647,0.026999999999999247,0.09999999999999787,99.99999999999787,37151.205658790175,0.02691702684387622,0.026999999999999823,False,False
17.1,0.67776084,0.00010236818,-0.5286634,-0.008672991,0.0134629775,3.061651,-0.33191583,-0.2893529,0.0040407483,-0.07232426,0.046811473,-0.3403779,0.54517066,-0.45703024,-0.5,2.6909924,0.4768353700637817,0.4063913524150848,0.3706586360931397,-2.444724652946613,-2.9842248,-0.986707,-17.12636,13.155429,0.998938,-3.2699094,2.479099202901125e-05,2.4999999999997247e-05,40337.232121641864,9.170034900307656e-07,1.983396941795945e-05,3.583962097764015e-06,1,SMC,0.02479099202901125,0.024999999999997247,0.10000000000000142,100.00000000000142,40337.232121641864,0.024790992029010896,0.024999999999996893,False,False
17.2,0.7058886,0.01666159,-0.52798444,-0.014895955,0.018016232,3.027923,-0.2672234,-0.18754591,0.0015654912,-0.057689004,0.04845576,-0.33684123,0.5325349,-0.45074183,-0.5,2.668904,0.4993001222610473,0.288818210363388,0.3590190410614013,-2.4295930979804123,5.015775,3.048364,-9.126361,17.1905,1.4569662,-3.442976,2.7250032871961594e-05,2.799999999997249e-05,36697.20343819956,1.04197533801198e-06,2.162496093660593e-05,3.958004526793957e-06,1,SMC,0.027250032871961594,0.02799999999997249,0.09999999999999787,99.99999999999787,36697.20343819956,0.027250032871962173,0.027999999999973088,False,False
17.3,0.72071046,0.024929317,-0.5274169,-0.019716047,0.022376671,2.996275,-0.13796367,-0.09899188,0.001716709,-0.04249944,0.04831289,-0.31574473,0.5197793,-0.44404778,-0.5,2.647968,0.5109447240829468,0.1682362407445907,0.3483068943023681,-2.4011604248723244,5.289769,8.911127,-8.852366,23.053263,2.1804204,-3.1341512,2.7166970539838076e-05,2.6999999999999247e-05,36809.40421875837,1.0409858077764511e-06,2.162496093660593e-05,3.958004526793957e-06,1,SMC,0.027166970539838076,0.026999999999999247,0.10000000000000142,100.00000000000142,36809.40421875837,0.02716697053983769,0.02699999999999886,False,False
17.400000000000002,0.7206695,0.026729237,-0.5270308,-0.023082508,0.026021963,2.9630954,0.0029246523,-0.017824134,0.0035760403,-0.026240753,0.042985473,-0.3309292,0.50690687,-0.43695414,-0.5,2.6281328,0.511299729347229,0.1604042500257492,0.3349626064300537,-2.3916551171845937,13.238995,0.9657354,-0.90314144,15.107871,3.313402,-2.2430677,2.7084024623036385e-05,2.6999999999999247e-05,36922.13450247153,1.04197533801198e-06,2.1625019144266844e-05,3.875000402331352e-06,1,SMC,0.027084024623036385,0.026999999999999247,0.10000000000000142,100.00000000000142,36922.13450247153,0.027084024623036,0.02699999999999886,False,False
17.5,0.7080424,0.022943797,-0.5268154,-0.02575957,0.028720973,2.936806,0.11744785,0.05953629,0.006587847,-0.01993034,0.03304858,-0.26211298,0.4939203,-0.42946726,-0.5,2.6093469,0.5012415647506714,0.2485625892877578,0.3274590969085693,-2.371334242581335,5.238994,8.965735,-8.903141,23.10787,2.9190576,-1.7879034,2.7083035092800856e-05,2.6999999999999247e-05,36923.48352293121,1.0420335456728935e-06,2.1499989088624716e-05,3.917026333510876e-06,1,SMC,0.027083035092800856,0.026999999999999247,0.09999999999999787,99.99999999999787,36923.48352293121,0.02708303509280143,0.026999999999999823,False,False
