controller,repetition_id,n_steps,rmse_error_m,mean_error_m,p95_error_m,max_error_m,mean_wall_time_ms,p95_wall_time_ms,total_wall_time_ms,mean_cpu_time_ms,p95_cpu_time_ms,total_cpu_time_ms,rmse_x_cpu_ms,rmse_x_wall_ms,performance_per_cpu_cost,performance_per_wall_cost
NMPC,2,1000,0.016822730720914284,0.014685959615104318,0.02866085572168227,0.0598366186022758,34.19534669432319,42.907116902642855,34195.34669432319,33.4045440000001,42.12754999999568,33404.5440000001,0.5619556485669346,0.5752591093469055,1.779499863646072,1.7383470922091175
NMPC,3,1000,0.016744066759469448,0.014620051246238244,0.028535235021263296,0.0598340965807437,33.8054123295005,43.26332855853248,33805.4123295005,33.59952200000005,42.54254999998819,33599.52200000005,0.5625926394542633,0.5660400808765479,1.777485039566175,1.7666593476056298
NMPC,4,1000,0.016727548727632886,0.014617392597021486,0.0284860896877944,0.059827197343111,36.655243088840464,53.35923123348036,36655.24308884046,35.05190800000024,50.26800000001111,35051.908000000236,0.586332499066509,0.6131523648918075,1.7055169235750784,1.6309159961838406
NMPC,5,1000,0.01680273043227283,0.014677532716508672,0.02864894345402713,0.0598377175629138,31.875131157459645,40.90089234232431,31875.131157459644,31.769621999999845,40.37359999999805,31769.621999999843,0.5338163944012019,0.5355892363321351,1.8733032752239287,1.8671024960252744
NMPC,6,1000,0.01679913843805073,0.014676394885725995,0.028643806930631364,0.0598449446260929,34.92104500433193,42.67636846052481,34921.04500433193,34.67938599999975,42.36294999999755,34679.38599999975,0.5825838063605941,0.5866434694291719,1.7164912396844811,1.7046128562089695
NMPC,7,1000,0.016769953831734224,0.014645509130699744,0.02863604277372354,0.0598268210887908,36.123840449261436,49.831393768545205,36123.840449261435,35.674201000000025,48.519950000002076,35674.20100000002,0.5982547037540072,0.6057951365590476,1.6715288550596736,1.6507230574349927
NMPC,8,1000,0.016781544873387812,0.014661872838449152,0.02858668370172376,0.0598396807909011,36.80393747531339,43.81481250748034,36803.93747531339,36.49307400000005,42.967849999979514,36493.07400000005,0.6124101588988629,0.617626928259331,1.6328925728437274,1.6191003893212979
NMPC,9,1000,0.01680438044085283,0.014678212273400227,0.028607933968305577,0.0598378628492355,38.5141173555166,49.03825897199555,38514.1173555166,38.149905000000004,48.133300000006244,38149.905000000006,0.6410855174023937,0.6472058803857538,1.5598542984591,1.5451033902905371
PPO,0,1000,0.056351774511185816,0.030303894733893638,0.16318048834800708,0.1988263428211212,0.3261160533874719,0.340001753647725,326.1160533874719,0.3181509999999514,0.3351000000000699,318.1509999999514,0.017928373412505538,0.018377218304968652,55.777508477287306,54.41519948259143
PPO,1,1000,0.056343645976814495,0.03030650483735367,0.1631409168243407,0.1988309621810913,0.32930778630538604,0.40206075063898,329.30778630538606,0.3252189999999542,0.39109999999998996,325.2189999999542,0.01832402420093105,0.018554401328999152,54.5731652083929,53.89556807942244
PPO,2,1000,0.05636196212014617,0.030330291089019693,0.16316497847437847,0.1988784372806549,0.31607149692713,0.345465229474905,316.07149692713,0.315486999999953,0.343049999999885,315.486999999953,0.017781466343395905,0.017814409737064798,56.23833156883618,56.13433252965953
PPO,3,1000,0.05635713698226327,0.03030899533466431,0.16321787014603603,0.1988290697336197,0.3162700211395949,0.3502271167235249,316.2700211395949,0.3152519999999651,0.341049999999705,315.2519999999651,0.017766700147930494,0.01782407290474745,56.28507216724105,56.10389978452397
PPO,4,1000,0.056354273118849156,0.03032835996517674,0.1631892286241054,0.1988091617822647,0.312103270727627,0.324337225174455,312.103270727627,0.3119649999999406,0.32404999999986495,311.9649999999406,0.017580560813518428,0.01758835295987081,56.88100684655396,56.85580692413767
PPO,5,1000,0.05636428103429813,0.030308158104307904,0.16321175768971438,0.1988698691129684,0.3075521379359485,0.319529138505385,307.5521379359485,0.3074829999999489,0.32000000000030004,307.4829999999489,0.017331058225266212,0.017334955135321024,57.69988116144821,57.68691018775348
PPO,6,1000,0.05635009991819047,0.0303101465409854,0.16316979900002468,0.1987870931625366,0.31278719013784506,0.33754612668412504,312.7871901378451,0.3122539999999492,0.33305000000026497,312.2539999999492,0.017595544099851784,0.01762558941739761,56.83257046927145,56.735691290580874
PPO,7,1000,0.05635293200348453,0.030281108623370485,0.16319817230105388,0.1988657414913177,0.31309426302318244,0.33662470232229497,313.09426302318246,0.3124739999999522,0.33604999999980995,312.4739999999522,0.017608826074854127,0.0176437797148265,56.78970283135607,56.677198205987324
PPO,8,1000,0.05635931288764871,0.03030405263579446,0.16318893283605562,0.1988836377859115,0.30605493456818833,0.31679404492015,306.05493456818834,0.3060889999999548,0.3169999999999,306.0889999999548,0.01725096572246496,0.017249045818137382,57.96776923031946,57.97422133046336
PPO,9,1000,0.05634706177379303,0.03029422446596432,0.16316340863704673,0.1988219618797302,0.3057484972523034,0.31758513359817503,305.7484972523034,0.3057949999999469,0.31799999999914497,305.7949999999469,0.01723064975511405,0.017228029461919928,58.036116699731565,58.044943689605105
