controller,scenario_id,time,target_x,target_y,target_z,x,y,z,error,cmd_surge,cmd_sway,cmd_heave,cmd_roll,cmd_pitch,cmd_yaw,thruster_1_power_W,thruster_2_power_W,thruster_3_power_W,thruster_4_power_W,thruster_5_power_W,thruster_6_power_W,total_power_W,total_step_energy_J,total_cum_energy_J,controller_wall_time_s,controller_cpu_time_s,controller_frequency_hz,controller_cum_wall_time_s,controller_cum_cpu_time_s,optimizer_success,optimizer_iterations,optimizer_final_cost
MPC,3,49.2,-0.5,0.0,-0.5,-0.5365488529205322,-0.20456717908382416,-0.4432581961154938,0.2154139775320716,-1.0230403781006796,1.6771450547069202,-1.502581065607372,-0.02051511335074929,-0.024010824321485182,-0.006969747252335366,0.9144120250055391,0.10569769997589686,0.11455104360367352,0.9324004330569095,0.6446513733039364,0.6446513733039364,3.3563639482498915,0.33563639482498925,584.5049813834693,0.03485683699909714,0.034853122000001235,28.688776323161562,17.899204642983022,17.89461174999991,0.0,5.0,27.18386332160068
MPC,3,49.300000000000004,-0.5,0.0,-0.5,-0.5253587961196899,-0.18388213217258453,-0.44334322214126587,0.19407652498514547,-1.240946303494134,1.140400303355269,-1.4500689172684937,0.021877352368076357,0.03318064624962999,0.0006563226818770817,0.7655630983375827,0.006472263933378194,0.006799133586204901,0.7639723247194774,0.6111544937662473,0.6111544937662473,2.765115808109138,0.27651158081091376,584.7814929642802,0.03473833599855425,0.0347345610000076,28.786640789058474,17.933942978981577,17.929346310999918,0.0,5.0,21.51822560458447
MPC,3,49.400000000000006,-0.5,0.0,-0.5,-0.5146917700767517,-0.1628495305776596,-0.44340780377388,0.17302743826066402,-1.359788482184707,0.6439532934650256,-1.3535939341079055,-0.01857907475935023,-0.01739787998476528,-0.008378086911241703,0.580991128563878,0.1316494689871784,0.12051638817111635,0.5996181495884423,0.5511891291306767,0.5511891291306767,2.5351533935719686,0.25351533935719683,585.0350083036374,0.03477007999936177,0.03476647799999455,28.76035948201315,17.96871305898094,17.964112788999913,0.0,5.0,17.42267250597571
MPC,3,49.5,-0.5,0.0,-0.5,-0.5045195817947388,-0.14161814749240875,-0.4434112012386322,0.1525726661759424,-1.5929686391417401,0.24794083861061586,-1.3963082189274554,0.012520580783644418,-0.010438821300716264,0.007967770647476155,0.5283224544007763,0.3174030190292692,0.3319167177985548,0.5113427328062219,0.5774840397600127,0.5774840397600127,2.8439530035548475,0.28439530035548477,585.3194036039928,0.035039738000705256,0.03502666600000737,28.539026175934097,18.003752796981644,17.99913945499992,0.0,5.0,14.911538656550555
MPC,3,49.6,-0.5,0.0,-0.5,-0.4948646128177643,-0.12030353397130966,-0.4433770775794983,0.13306189473675656,-2.0090047999945564,-0.19282992477023359,-1.5889056440546532,0.05813971334794855,-0.003282934812473497,-0.04983080182667918,0.45755092946113707,0.7388304319006398,0.6227093146471754,0.5630066337467731,0.700995461091404,0.700995461091404,3.7840882319385334,0.3784088231938534,585.6978124271866,0.03457765299936,0.03457303099999365,28.920412846369565,18.038330449981004,18.033712485999914,0.0,5.0,14.024998862828975
MPC,3,49.7,-0.5,0.0,-0.5,-0.48585498332977295,-0.09903479367494583,-0.44336581230163574,0.11495826664965703,-2.4206477786959297,-0.6955670346210217,-1.7605041841665097,-0.06556210114212,0.003571048243470931,0.1861676434388964,0.6760523554887573,0.8966855624732937,1.412373389036633,0.29319788894859766,0.8175675333295738,0.8175675333295738,4.913444262606429,0.49134442626064295,586.1891568534473,0.034773847999531426,0.034768835999997805,28.757243087203776,18.073104297980535,18.06848132199991,0.0,5.0,14.053559630259885
MPC,3,49.800000000000004,-0.5,0.0,-0.5,-0.47755834460258484,-0.07797014713287354,-0.4433979094028473,0.0989280971254707,-2.285222373444509,-1.048921643262227,-1.5612681915449744,-0.040510587972132334,0.009545115604462431,-0.14594016001550136,0.16863274198971417,1.4819210099812752,1.0635836163321173,0.42254889356588304,0.6827855350442965,0.6827855350442965,4.5022573319575825,0.4502257331957583,586.639382586643,0.034895163000328466,0.034891287000007765,28.65726691090645,18.107999460980864,18.10337260899992,0.0,5.0,14.652812249495865
MPC,3,49.900000000000006,-0.5,0.0,-0.5,-0.4698791801929474,-0.05712425708770752,-0.44344955682754517,0.08583936833803286,-2.1426054353970936,-1.2928321507908498,-1.3718178487221893,0.030906972390056468,-0.02298215589434026,-0.006736111666845512,0.15817134731719643,1.3349781229708697,1.3153680351568682,0.1679242364456746,0.5623577933169154,0.5623577933169154,4.101157328524439,0.410115732852444,587.0494983194956,0.03467924500000663,0.034675590000006196,28.83569120376781,18.14267870598087,18.138048198999925,0.0,5.0,16.668852537945476
MPC,3,50.0,-0.5,0.0,-0.5,-0.4624745547771454,-0.036556899547576904,-0.4434816837310791,0.07706416818196936,-2.3608811673659447,-1.685427681177734,-1.4164250651014347,0.013749127838871916,0.010720949119204005,0.0306868244450082,0.13589008856596285,1.6456411319317699,1.7425926346817986,0.09629946748662754,0.5900087460761592,0.5900087460761592,4.800440814818477,0.4800440814818478,587.5295424009773,0.03460011199967994,0.034596558999993476,28.901640549870194,18.17727881798055,18.17264475799992,0.0,5.0,20.059095951140577
MPC,3,50.1,-0.5,0.0,-0.5,-0.4553315341472626,-0.016345763579010963,-0.4434821307659149,0.07386965122010007,-2.082147625328948,-1.7521039889544068,-1.187165260355621,0.0008198795805928791,-0.015405497728033919,-0.11384452344943446,0.001897392958419378,1.740782864095702,1.3907320944594501,0.10072493590759664,0.4527253504616056,0.4527253504616056,4.139587988344379,0.413958798834438,587.9435011998119,0.03488732699952379,0.034875526999996964,28.66370358536353,18.212166144980074,18.207520284999916,0.0,5.0,24.463920542679197
