controller,scenario_id,time,target_x,target_y,target_z,x,y,z,error,cmd_surge,cmd_sway,cmd_heave,cmd_roll,cmd_pitch,cmd_yaw,thruster_1_power_W,thruster_2_power_W,thruster_3_power_W,thruster_4_power_W,thruster_5_power_W,thruster_6_power_W,total_power_W,total_step_energy_J,total_cum_energy_J
SMC,4,27.200000000000003,0.0,0.5,-0.5,-0.02109542302787304,0.4742865264415741,-0.47546619176864624,0.04132925527392946,0.06748917046934366,0.2515440061688423,-1.0357517236843705,0.0,0.0,0.0,0.01751689479097841,0.03997514479829025,0.03997514479829025,0.01751689479097841,0.39327131200160903,0.39327131200160903,0.9015267031817554,0.09015267031817553,166.8373352041525
SMC,4,27.3,0.0,0.5,-0.5,-0.019181041046977043,0.47686147689819336,-0.47501713037490845,0.03908257107308807,0.048138718120753765,0.13437526300549507,-1.6336905118077993,0.0,0.0,0.0,0.0056178908253131645,0.017297386147817326,0.017297386147817326,0.0056178908253131645,0.7790466243509349,0.7790466243509349,1.6039238026481306,0.16039238026481306,166.99772758441733
SMC,4,27.400000000000002,0.0,0.5,-0.5,-0.017154166474938393,0.47956582903862,-0.47462403774261475,0.03682064951650157,0.02731251996010542,0.04509815480560064,-2.187303751707077,0.0,0.0,0.0,0.0005261872622865181,0.004322551387701253,0.004322551387701253,0.0005261872622865181,1.2069031388096962,1.2069031388096962,2.423503754919368,0.2423503754919368,167.24007795990929
SMC,4,27.5,0.0,0.5,-0.5,-0.015002652071416378,0.4823862314224243,-0.4744981527328491,0.034433539270854185,0.004944170359522104,-0.017834976315498352,-2.613132627448067,0.0,0.0,0.0,0.0007626801613375471,0.00032468062986926237,0.00032468062986926237,0.0007626801613375471,1.57598089644072,1.57598089644072,3.154136514463854,0.3154136514463854,167.55549161135568
SMC,4,27.6,0.0,0.5,-0.5,-0.012715225107967854,0.4853212237358093,-0.4747972786426544,0.03181698580909994,-0.01900716917589307,-0.05498911254107952,-1.8965734727680683,0.0,0.0,0.0,0.0015141301127072552,0.004465304902267273,0.004465304902267273,0.0015141301127072552,0.9744583417691319,0.9744583417691319,1.960875553568213,0.19608755535682132,167.75157916671247
SMC,4,27.700000000000003,0.0,0.5,-0.5,-0.010280966758728027,0.4883802533149719,-0.4752379357814789,0.029221167240212283,-0.0446056853979826,-0.06580234505236149,-1.3535248953849077,0.0,0.0,0.0,0.0006846008170298736,0.00813836693819871,0.00813836693819871,0.0006846008170298736,0.5875003669566033,0.5875003669566033,1.192646669423664,0.1192646669423664,167.87084383365487
SMC,4,27.8,0.0,0.5,-0.5,-0.007690138649195433,0.4915836751461029,-0.4756088852882385,0.02692395278135219,-0.07186533301137388,-0.09704919531941414,-0.9014544729143381,0.0,0.0,0.0,0.0008865837715671343,0.015400569481718494,0.015400569481718494,0.0008865837715671343,0.3193187841404405,0.3193187841404405,0.6712118747874523,0.06712118747874524,167.9379650211336
SMC,4,27.900000000000002,0.0,0.5,-0.5,-0.004934084136039019,0.4949425756931305,-0.47573816776275635,0.0252697295274283,-0.10079710395075381,-0.13001367449760437,-0.47230693977326155,0.0,0.0,0.0,0.0011078478739986167,0.024599167053659634,0.024599167053659634,0.0011078478739986167,0.1211003115029981,0.1211003115029981,0.2936146528613127,0.02936146528613127,167.96732648641972
SMC,4,28.0,0.0,0.5,-0.5,-0.0020052664913237095,0.4984667897224426,-0.47546619176864624,0.024663324467501836,-0.13140138355083764,-0.1647118292748928,-1.0357517236843705,0.0,0.0,0.0,0.0013486738572336416,0.035745629764231,0.035745629764231,0.0013486738572336416,0.39327131200160903,0.39327131200160903,0.8607312312461474,0.08607312312461474,168.05339960954436
SMC,4,28.1,0.0,0.5,-0.5,0.0011025069979950786,0.5021656155586243,-0.47501713037490845,0.025100780608034997,-0.1636574781150557,-0.2011827938258648,-1.6336904978379607,0.0,0.0,0.0,0.0016125857041138373,0.04888666705256433,0.04888666705256433,0.0016125857041138373,0.7790466143583854,0.7790466143583854,1.659091734230127,0.16590917342301273,168.21930878296735
