controller,scenario_id,time,target_x,target_y,target_z,x,y,z,error,cmd_surge,cmd_sway,cmd_heave,cmd_roll,cmd_pitch,cmd_yaw,thruster_1_power_W,thruster_2_power_W,thruster_3_power_W,thruster_4_power_W,thruster_5_power_W,thruster_6_power_W,total_power_W,total_step_energy_J,total_cum_energy_J,controller_wall_time_s,controller_cpu_time_s,controller_frequency_hz,controller_cum_wall_time_s,controller_cum_cpu_time_s
PID,2,47.0,0.5,0.0,-0.5,0.41648924350738525,0.1526336669921875,-0.3262932300567627,0.24585590225488496,1.524061774611473,1.0430547255277633,-1.511721651417861,0.0,0.0,0.0,0.0694260903271127,0.8559805860258866,0.8559805860258866,0.0694260903271127,0.6505426795860064,0.6505426795860064,3.1518987118780113,0.3151898711878011,244.25483077177208,4.375999924377538e-05,4.308900000005167e-05,22851.91995615138,0.01950408599805087,0.019216671999996215
PID,2,47.1,0.5,0.0,-0.5,0.386627197265625,0.1200433075428009,-0.3262932300567627,0.23966190771538093,1.609625319838524,1.146338478177786,-1.5117216647338867,0.0,0.0,0.0,0.06562517821821694,0.9521509613952722,0.9521509613952722,0.06562517821821694,0.6505426881814806,0.6505426881814806,3.3366376555899393,0.33366376555899396,244.58849453733103,4.294400059734471e-05,4.226099999993238e-05,23286.139765512005,0.019547029998648213,0.019258932999996148
PID,2,47.2,0.5,0.0,-0.5,0.35695207118988037,0.08735548704862595,-0.3262932598590851,0.24138708048433546,1.6781518188118936,1.2357634589448572,-1.5117214866417954,0.0,0.0,0.0,0.06123519208917316,1.0351682147028385,1.0351682147028385,0.06123519208917316,0.6505425732233103,0.6505425732233103,3.493891960030644,0.34938919600306445,244.93788373333413,4.2392999603180215e-05,4.17729999999672e-05,23588.800258545107,0.019589422998251393,0.019300705999996115
PID,2,47.300000000000004,0.5,0.0,-0.5,0.32771822810173035,0.05480191111564636,-0.32629328966140747,0.25071553523264234,1.7329543854296208,1.3134165189042686,-1.5117213137636099,0.0,0.0,0.0,0.0565525634446072,1.1065466196778964,1.1065466196778964,0.0565525634446072,0.6505424616307146,0.6505424616307146,3.627283289506437,0.36272832895064366,245.30061206228476,4.2815001506824046e-05,4.218600000038819e-05,23356.299540024902,0.019632237999758217,0.019342891999996503
PID,2,47.400000000000006,0.5,0.0,-0.5,0.29913240671157837,0.022568877786397934,-0.32629331946372986,0.2665167070578314,1.7758827124536039,1.3810824684612453,-1.511721145835577,0.0,0.0,0.0,0.05162519037633758,1.1673477096052336,1.1673477096052336,0.05162519037633758,0.6505423532334408,0.6505423532334408,3.7390305064300238,0.37390305064300244,245.67451511292774,4.3141000787727535e-05,4.249199999994957e-05,23179.805329979117,0.019675379000545945,0.019385383999996453
PID,2,47.5,0.5,0.0,-0.5,0.27135202288627625,-0.009195717051625252,-0.32629331946372986,0.2872950913489844,1.8089823266863823,1.4402943013142795,-1.5117211733424485,0.0,0.0,0.0,0.04658907589065168,1.218921051503732,1.218921051503732,0.04658907589065168,0.6505423709890814,0.6505423709890814,3.83210499676693,0.3832104996766931,246.05772561260446,4.406500011100434e-05,4.3450000000166966e-05,22693.747815293216,0.01971944400065695,0.01942883399999662
PID,2,47.6,0.5,0.0,-0.5,0.24449899792671204,-0.04037576913833618,-0.32629334926605225,0.31158460376464725,1.833709902316332,1.4923373272176832,-1.511721008723839,0.0,0.0,0.0,0.041508638626085684,1.2623743610771945,1.2623743610771945,0.041508638626085684,0.6505422647280399,0.6505422647280399,3.90885052886264,0.3908850528862641,246.4486106654907,4.440300108399242e-05,4.382200000030423e-05,22521.00028348099,0.019763847001740942,0.019472655999996924
PID,2,47.7,0.5,0.0,-0.5,0.21866533160209656,-0.07087218016386032,-0.32629334926605225,0.3381509456928114,1.8513166242837906,1.5378001359384506,-1.5117210393726737,0.0,0.0,0.0,0.03653306643579996,1.2984503399048544,1.2984503399048544,0.03653306643579996,0.6505422845118118,0.6505422845118118,3.9710513817049327,0.39710513817049325,246.8457158036612,4.344400076661259e-05,4.284299999968155e-05,23018.13788679693,0.019807291002507554,0.019515498999996606
PID,2,47.800000000000004,0.5,0.0,-0.5,0.1939205378293991,-0.10057808458805084,-0.32629337906837463,0.36602537947187325,1.8627389628440143,1.576013196958229,-1.5117208777372073,0.0,0.0,0.0,0.03195182212415667,1.3270792597410204,1.3270792597410204,0.03195182212415667,0.6505421801763889,0.6505421801763889,4.019146524083132,0.4019146524083132,247.24763045606952,4.259900015313178e-05,4.196699999958753e-05,23474.7293693578,0.019849890002660686,0.019557465999996193
PID,2,47.900000000000006,0.5,0.0,-0.5,0.17032475769519806,-0.12937918305397034,-0.326293408870697,0.39446003371470406,1.868286281824112,1.6063027257751674,-1.5117207204835723,0.0,0.0,0.0,0.027906578749915083,1.3478783873527405,1.3478783873527405,0.027906578749915083,0.6505420786694359,0.6505420786694359,4.052654089544182,0.4052654089544183,247.65289586502394,4.2895997466985136e-05,4.223500000000158e-05,23312.198318028368,0.01989278600012767,0.019599700999996195
PID,2,48.0,0.5,0.0,-0.5,0.14794224500656128,-0.15716224908828735,-0.326293408870697,0.4228695013727898,1.8675775076448917,1.6284222901891916,-1.5117207581251706,0.0,0.0,0.0,0.024339706531044135,1.3603562174259687,1.3603562174259687,0.024339706531044135,0.650542102967023,0.650542102967023,4.070476053848072,0.4070476053848072,248.05994347040874,4.353500116849318e-05,4.288100000016115e-05,22970.023502002623,0.019936321001296164,0.019642581999996356
PID,2,48.1,0.5,0.0,-0.5,0.12683343887329102,-0.1838207244873047,-0.3262934386730194,0.45079630715237173,1.8606412817537785,1.6424246437381953,-1.5117206031289014,0.0,0.0,0.0,0.02121423318707039,1.364482636244852,1.364482636244852,0.02121423318707039,0.6505420029171998,0.6505420029171998,4.0724777446982445,0.4072477744698245,248.46719124487856,4.2214996938128024e-05,4.160500000027767e-05,23688.264184068037,0.019978535998234292,0.019684186999996633
PID,2,48.2,0.5,0.0,-0.5,0.10706605762243271,-0.20926079154014587,-0.3262934386730194,0.477871459072866,1.8469293019548059,1.6486942573916168,-1.5117206429136103,0.0,0.0,0.0,0.01836818296579284,1.3601366216201174,1.3601366216201174,0.01836818296579284,0.6505420285981599,0.6505420285981599,4.058093666368141,0.40580936663681405,248.87300061151538,4.213299689581618e-05,4.158199999970691e-05,23734.366735713982,0.02002066899513011,0.01972576899999634
PID,2,48.300000000000004,0.5,0.0,-0.5,0.08869842439889908,-0.2333991974592209,-0.3262934684753418,0.5038036627108655,1.826754702180624,1.6475382010918111,-1.5117204899521086,0.0,0.0,0.0,0.015789287724875443,1.3477060918157127,1.3477060918157127,0.015789287724875443,0.6505419298617794,0.6505419298617794,4.028074618804735,0.4028074618804735,249.2758080733958,4.178500239504501e-05,4.116000000031761e-05,23932.031654462295,0.020062453997525154,0.019766928999996658
PID,2,48.400000000000006,0.5,0.0,-0.5,0.0717925950884819,-0.25615832209587097,-0.3262934982776642,0.5283489531934749,1.7997605507448315,1.6390282047074287,-1.5117203409339481,0.0,0.0,0.0,0.013410669916190462,1.3271004442238301,1.3271004442238301,0.013410669916190462,0.6505418336708235,0.6505418336708235,3.982105895621688,0.3982105895621688,249.67401866295802,4.1646999306976795e-05,4.1055999999706216e-05,24011.333748899357,0.02010410099683213,0.019807984999996364
